Date,The audio made me feel like I was physically present in the game world. ,  I was so focused on the game that I lost track of my surroundings  ,  The overall soundscape of the scene was believable.  ,  The audio design was consistent and helped create a cohesive world.  ,"  The audio effectively created a specific mood or atmosphere (e.g., calm, tense, mysterious).   ","  The sound effects made my actions (e.g., jumping, collecting items) feel more satisfying.   ",  The soundscape was emotionally engaging.   ,  The audio enhanced the narrative or the events happening on screen.   ,  The sounds I heard were a good match for the objects and environment I was seeing.   ,  The timing of the sound effects felt perfectly synchronized with the character's actions.   ,  The ambient (background) sounds were appropriate for the game's setting.   ,"  Overall, the quality of the sound design was high.   ",  The soundscape was interesting and did not feel repetitive.   ,  I would enjoy playing a full game with this style of audio.   ,What did you like most about the sound design in the scene you just played?,What did you like least about the sound design in the scene you just played?,Please use three words to describe the atmosphere created by the audio.,Do you have any other comments about your audio experience in this scene?
8/16/2025,4,4,4,5,4,5,4,5,5,5,4,5,5,5,Immersive,Gun sounds wierd,"Immserive, Engaging, Helpful",No
8/16/2025,2,1,2,3,2,2,1,1,1,5,2,3,1,1,Retro Nostalgia,Retro sound does not fit the style of the game,"Retro, Annoying, Displeasing",The audio does not meet the style of the game
8/16/2025,5,3,5,5,4,3,4,3,5,4,3,3,4,3,Much more accurate ,The buzzing sound when dying in the game,"Immersive, punctual, fun",No
8/16/2025,5,5,5,5,4,5,5,5,5,5,4,5,4,4,Scene 2 had a much better sound feedback than scene 1,/,Much better overall,/
8/17/2025,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"High quality audio, variety in sounds, synchronicity in actions and output of sound",The reward/win sound was a bit too high pitched and high volume for my preference ,"realistic, pleasant to the ear, rewarding",no
8/17/2025,4,4,4,5,4,5,4,4,4,4,4,4,3,4,Health Boost sound was very satisfying ,some audio still echoed ,Overall very Satisfying ,Get rid of echo 
9/17/2025,5,4,4,4,4,4,4,4,5,4,5,4,3,3,atmosphere sound was relaxing ,shooting sounds are repetitive ,"calming, intensive, immersive ",mixing of different audios while shooting (character talking/shouting or weapon charging)
9/17/2025,3,1,4,4,4,4,2,4,4,4,4,2,3,2,Space,Health pickup,Space interesting real,No
8/18/2025,2,1,3,2,4,2,2,2,3,3,2,3,2,2,Default audio levels were tolerable,Medkit sound effect was too loud and not appropriate for the item,"Calm, Dead, Empty",The Gun Sounds were not as intimidating as in Scene 1 
8/19/2025,3,1,3,3,4,2,2,2,2,3,3,2,2,2,The audio wasn't overwhelming,No background ambience,Quiet dull atmosphere,No
8/19/2025,4,2,3,3,4,4,4,3,5,4,5,4,3,4,Player Shooting sound,Health pick up,"mechanical, arcade, sci-fi",The sound design was responsive and matched the game except the health pick up
